"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Одежда / Платья";"2";"2020-01-25";"34,5";"38";"1334175";"53157";"285491";"21,4";"334198";"25,05";"237733";"17,82";"71,14";"54615";"14971";"27,41";"92595";"16109";"17,4";"11016883";"25806156739";"3960043361";"13,3";"29766200100";"33,36";"29,26";"8608933888";"7550881462";"13439813";"7022601";"18456579163";"52,25";"37";"0";"8500000";"3061,62";"1730,5";"14";"250000";"2763,26";"2128";"4,66";"4,8";"4,54";"4,65";"121";"3,38";"14,83"
"Одежда / Джинсы";"2";"2020-01-25";"34,5";"38";"375826";"20716";"87642";"23,32";"107142";"28,51";"85239";"22,68";"79,56";"16842";"5269";"31,28";"27152";"5540";"20,4";"8868487";"22885418886";"2327977796";"9,23";"25213396682";"28,44";"24,35";"6508613131";"5572599499";"7908552";"2972126";"8707733041";"37,58";"27";"0";"6256602";"3103,32";"1976,5";"143";"236250";"2876,32";"2295";"4,73";"4,84";"4,6";"4,68";"121";"5,36";"23,27"
"Одежда / Куртки";"2";"2020-01-25";"34,5";"38";"707529";"27602";"134219";"18,97";"165042";"23,33";"112924";"15,96";"68,42";"24918";"6611";"26,53";"38456";"7218";"18,77";"4738729";"22086713214";"4869493707";"18,06";"26956206921";"28,61";"25,29";"6319008651";"5585729772";"3876211";"1677877";"9615362783";"43,29";"25";"0";"11728560";"5709,98";"3696";"222";"11728560";"5846,92";"4193";"4,72";"4,83";"4,6";"4,69";"104";"3,37";"14,44"
"Одежда / Костюмы";"2";"2020-01-25";"34,5";"38";"678475";"21549";"165530";"24,4";"195344";"28,79";"148900";"21,95";"76,22";"43894";"11834";"26,96";"56586";"13506";"23,87";"6982511";"20700355419";"3065258264";"12,9";"23765613683";"45,26";"41,61";"9368980863";"8613417890";"8800322";"4635532";"13063265707";"52,67";"38";"0";"5852000";"3427,73";"2117";"29";"2509000";"3427,57";"2606,5";"4,68";"4,83";"4,57";"4,68";"138";"3,56";"13,31"
"Одежда / Брюки";"1";"2020-01-25";"34,5";"38";"814564";"38652";"258015";"31,68";"287938";"35,35";"163823";"20,11";"56,9";"37169";"11830";"31,83";"46750";"12743";"27,26";"9748265";"18844765247";"1795239327";"8,7";"20640004574";"37,19";"33,15";"7008368195";"6247039679";"13177175";"6709863";"13645059336";"50,92";"41";"0";"8019000";"2615,52";"1620";"16";"196500";"2267,58";"1639";"4,74";"4,84";"4,61";"4,69";"73";"5,1";"19,56"
"Обувь / Кроссовки";"2";"2020-01-25";"34,5";"38";"1966226";"143366";"195299";"9,93";"226651";"11,53";"171120";"8,7";"75,5";"15674";"4681";"29,86";"24134";"5642";"23,38";"6630337";"15460337900";"1817282712";"10,52";"17277620612";"42,83";"40,43";"6621662723";"6250614613";"17595635";"11339850";"27588827743";"64,45";"80";"0";"1453787";"6049,41";"5207,5";"191";"405000";"3218,7";"2519";"4,67";"4,8";"4,55";"4,65";"61";"3,97";"14,71"
"Обувь / Ботинки";"3";"2020-01-25";"34,5";"38";"602172";"22520";"125069";"20,77";"144449";"23,99";"104138";"17,29";"72,09";"10373";"3586";"34,57";"18856";"3731";"19,79";"3884345";"10706748695";"1164653754";"9,81";"11871402449";"36,35";"33,35";"3891903151";"3570700690";"5798009";"2875093";"9093611669";"49,59";"45";"0";"13167000";"5249,95";"3558";"95";"405000";"4054,52";"3065";"4,68";"4,79";"4,56";"4,65";"55";"3,72";"16,17"
"Спортивная одежда / Костюмы спортивные";"1";"2020-01-25";"34,5";"38";"381550";"11393";"74121";"19,43";"85287";"22,35";"64697";"16,96";"75,86";"26091";"5249";"20,12";"31042";"6303";"20,3";"3160713";"9898094861";"1014241561";"9,29";"10912336422";"46,19";"42,89";"4571930016";"4245292886";"3710320";"1738511";"5102753944";"46,86";"35";"0";"6771600";"3337,42";"2035";"36";"684999";"3834,88";"2792,5";"4,67";"4,83";"4,57";"4,68";"132";"3,97";"16,42"
"Одежда / Пальто";"3";"2020-01-25";"34,5";"38";"162962";"4768";"30380";"18,64";"37554";"23,04";"27676";"16,98";"73,7";"8073";"2051";"25,41";"13423";"2108";"15,7";"1288725";"9616841354";"1710694876";"15,1";"11327536230";"23,21";"20,08";"2232068878";"1931061744";"836469";"324238";"2925701973";"38,76";"19";"0";"8019000";"7746,64";"5264,5";"241";"290925";"8834,47";"7236";"4,68";"4,8";"4,56";"4,65";"103";"3,09";"12,97"
"Одежда / Футболки";"2";"2020-01-25";"34,5";"38";"6647592";"559504";"734852";"11,05";"808367";"12,16";"350346";"5,27";"43,34";"42315";"11430";"27,01";"47222";"11732";"24,84";"11635726";"9179805479";"1201933823";"11,58";"10381739302";"63,44";"61,11";"5823668596";"5609779128";"22593521";"12798201";"15598446118";"56,65";"58";"0";"8019000";"1417,16";"1189";"31";"562950";"1094,41";"910";"4,81";"4,88";"4,73";"4,78";"49";"5,3";"15,96"
